Oznaka pruge;Smjer;Polazna stanica;Odredišna stanica;Oznaka vlaka;Vrsta vlaka;Vrijeme polaska;Trajanje vožnje;Oznaka dana
M101;O;;;8016;;7:48;0:22;
M101;O;;;8018;;8:20;0:26;1
M101;O;;;8020;;8:52;0:26;1
M101;O;;;8022;;9:37;0:26;
M101;O;;Zaprešić;3056;;9:55;0:19;4
M101;O;;;2172;;10:35;0:26;
M101;O;;;8026;;11:21;0:26;1
M101;O;;Zaprešić;3058;;11:37;0:19;
M101;O;;;8028;;12:00;0:26;
M101;O;;;8030;;12:32;0:27;1
M101;O;;Zaprešić;B 210;B;12:50;0:19;
M101;O;;;8032;;12:58;0:26;
M101;O;;Zaprešić;3060;;13:19;0:19;3
M101;O;;;8034;;13:29;0:26;1
M101;O;;;2174;;13:50;0:26;
M101;O;;;8038;;14:17;0:26;1
M101;O;;Zaprešić;3062;;14:34;0:19;
M101;O;;;8040;;14:44;0:26;1
M101;O;;;8042;;15:00;0:26;1
M101;O;;;8044;;15:13;0:26;3
M101;O;;Zaprešić;B 790;B;15:25;0:12;1
M101;O;;Zaprešić;3064;;15:37;0:20;3
M101;O;;;8046;;15:48;0:26;
M101;O;;;8048;;16:08;0:26;1
M101;O;;Zaprešić;B 792;B;16:22;0:12;3
M101;O;;;8050;;16:35;0:26;
M101;O;;Zaprešić;3066;;16:46;0:19;
M101;O;;;8052;;16:59;0:26;3
M101;O;;Zaprešić;3068;;17:28;0:19;3
M101;O;;;8056;;17:33;0:28;
M101;O;;;8058;;18:03;0:26;3
M101;O;;;8060;;18:24;0:32;
M101;O;;;8064;;19:13;0:26;3
M101;O;;Zaprešić;3072;;19:25;0:19;3
M101;O;;Zaprešić;EN 414;B;19:38;0:13;
M101;O;;;8068;;19:57;0:26;1
M101;O;;Zaprešić;3074;;20:16;0:20;
M101;O;;;8070;;20:25;0:27;3
M101;O;;;8072;;21:00;0:26;3
M101;O;;;8074;;21:41;0:27;
M101;O;;Zaprešić;3076;;22:10;0:19;
M101;O;;Zaprešić;3020;;22:43;0:19;4
M101;O;;Zaprešić;3078;;22:43;0:19;6
M101;O;;;8078;;22:53;0:26;
;;;;;;;;
L201;N;;;3500;;5:05;1:19;3
L201;N;;;3502;;10:25;1:01;4
L201;N;;;3504;;13:16;1:02;14
L201;N;;;3506;;14:18;1:02;
L201;N;;;3508;;15:47;1:00;3
L201;N;;;3510;;19:22;1:01;3
;;;;;;;;
L201;O;;;3501;;3:52;1:02;3
L201;O;;;3503;;5:31;1:03;4
L201;O;;;3505;;6:36;1:03;14
L201;O;;;3507;;11:37;1:02;4
L201;O;;;3509;;14:16;1:00;14
L201;O;;;3511;;15:53;1:11;
L201;O;;;3513;;18:12;1:03;3
L201;O;;;2515;;20:32;1:01;3
;;;;;;;;
R202;N;;;3601;;4:04;0:55;3
R202;N;;;B 773;B;5:09;0:41;3
R202;N;;;3603;;6:38;0:50;
R202;N;;;3605;;7:50;0:50;3
R202;N;;;3607;;10:22;0:51;4
R202;N;;;3609;;12:45;0:51;4
R202;N;;;6401;;14:47;0:51;
R202;N;;;3611;;15:59;0:51;3
R202;N;;;3613;;17:09;0:50;6
R202;N;;;3615;;18:00;0:54;3
R202;N;;;6403;;19:25;0:51;
R202;N;;;3617;;22:18;0:50;
;;;;;;;;
R202;O;;;980;;4:12;0:50;3
R202;O;;;3600;;5:26;0:51;4
R202;O;;;3602;;6:38;0:55;5
